HDI rank;Country;Human Development Index (HDI) ;Life expectancy at birth;Expected years of schooling;Mean years of schooling;Gross national income (GNI) per capita;GNI per capita rank minus HDI rank;HDI_rank_2020;Development_group
160;Tanzania (United Republic of);0,549;66,2;9,2;6,4;2 664;7;;LOW HUMAN DEVELOPMENT
161;Pakistan;0,544;66,1;8,7;4,5;4 624;-19;;LOW HUMAN DEVELOPMENT
162;Togo;0,539;61,6;13,0;5,0;2 167;12;;LOW HUMAN DEVELOPMENT
163;Haiti;0,535;63,2;9,7;5,6;2 848;2;;LOW HUMAN DEVELOPMENT
163;Nigeria;0,535;52,7;10,1;7,2;4 790;-22;;LOW HUMAN DEVELOPMENT
165;Rwanda;0,534;66,1;11,2;4,4;2 210;6;;LOW HUMAN DEVELOPMENT
166;Benin;0,525;59,8;10,8;4,3;3 409;-7;;LOW HUMAN DEVELOPMENT
166;Uganda;0,525;62,7;10,1;5,7;2 181;6;;LOW HUMAN DEVELOPMENT
168;Lesotho;0,514;53,1;12,0;6,0;2 700;-2;;LOW HUMAN DEVELOPMENT
169;Malawi;0,512;62,9;12,7;4,5;1 466;13;;LOW HUMAN DEVELOPMENT
170;Senegal;0,511;67,1;9,0;2,9;3 344;-10;;LOW HUMAN DEVELOPMENT
171;Djibouti;0,509;62,3;7,4;4,1;5 025;-32;;LOW HUMAN DEVELOPMENT
172;Sudan;0,508;65,3;7,9;3,8;3 575;-14;;LOW HUMAN DEVELOPMENT
173;Madagascar;0,501;64,5;10,1;5,1;1 484;8;;LOW HUMAN DEVELOPMENT
174;Gambia;0,500;62,1;9,4;4,6;2 172;-1;;LOW HUMAN DEVELOPMENT
175;Ethiopia;0,498;65,0;9,7;3,2;2 361;-5;;LOW HUMAN DEVELOPMENT
176;Eritrea;0,492;66,5;8,1;4,9;1 729;3;;LOW HUMAN DEVELOPMENT
177;Guinea-Bissau;0,483;59,7;10,6;3,6;1 908;0;;LOW HUMAN DEVELOPMENT
178;Liberia;0,481;60,7;10,4;5,1;1 289;7;;LOW HUMAN DEVELOPMENT
179;Congo (Democratic Republic of the);0,479;59,2;9,8;7,0;1 076;9;;LOW HUMAN DEVELOPMENT
180;Afghanistan;0,478;62,0;10,3;3,0;1 824;-2;;LOW HUMAN DEVELOPMENT
181;Sierra Leone;0,477;60,1;9,6;4,6;1 622;-1;;LOW HUMAN DEVELOPMENT
182;Guinea;0,465;58,9;9,8;2,2;2 481;-13;;LOW HUMAN DEVELOPMENT
183;Yemen;0,455;63,8;9,1;3,2;1 314;1;;LOW HUMAN DEVELOPMENT
184;Burkina Faso;0,449;59,3;9,1;2,1;2 118;-8;;LOW HUMAN DEVELOPMENT
185;Mozambique;0,446;59,3;10,2;3,2;1 198;2;;LOW HUMAN DEVELOPMENT
186;Mali;0,428;58,9;7,4;2,3;2 133;-11;;LOW HUMAN DEVELOPMENT
187;Burundi;0,426;61,7;10,7;3,1;732;4;;LOW HUMAN DEVELOPMENT
188;Central African Republic;0,404;53,9;8,0;4,3;966;1;;LOW HUMAN DEVELOPMENT
189;Niger;0,400;61,6;7,0;2,1;1 240;-3;;LOW HUMAN DEVELOPMENT
190;Chad;0,394;52,5;8,0;2,6;1 364;-7;;LOW HUMAN DEVELOPMENT
191;South Sudan;0,385;55,0;5,5;5,7;768;-1;;LOW HUMAN DEVELOPMENT
